group,precision,recall,f1,n,Δf1_vs_general
gendered,0.9956521739130435,0.9956521739130435,0.9956521739130435,277,0.06066765378920447
general,0.9320987654320988,0.937888198757764,0.934984520123839,853,0.0
therapy,1.0,1.0,1.0,30,0.06501547987616096
