model,accuracy,precision,recall,f1_macro,auroc,auprc
TFIDF+LR,0.9603448275862068,0.961204586861001,0.9605903128753376,0.9603372817658532,0.9912981175155486,0.9931589408190244
DistilBERT,0.9767241379310344,0.9767149758454106,0.9767305656966856,0.9767220447141872,0.9987424337919636,0.998799841698537
DistilBERT(val),0.9741379310344828,0.9741379310344828,0.974188676552782,0.9741372391056836,0.9974105433399532,0.9976347890688426
DistilBERT(val),0.971551724137931,0.971544207919762,0.9715932739532174,0.9715506881567476,0.9980482453532482,0.9981576062091808
DistilBERT(val),0.9775862068965517,0.9775740496319814,0.9776194836546123,0.9775851407914764,0.9979367589872876,0.9981085577484974
