Variant,Model,ExplainMethod,Seed,TopK,ValF1,TestF1,RSS_avg,ALA_avg
DistilBERT-IG,DistilBERT,IG,42,10,0.9775851407914764,0.9620679506883358,1.0,0.024827051385641043
DistilBERT-Attention,DistilBERT,Attention,42,10,0.9775851407914764,0.9620679506883358,1.0,0.024827051385641043
